Date,Open,High,Low,Close,Volume,EMA4,EMA9,EMA18,RSI,STOCHRSIK,STOCHRSID,MACDs,MACDh,MACD,BBUPPER,BBMIDDLE,BBLOWER,ADX
2022-01-22 17:15:00,2429.52,2457.48,2387.4,2394.0,15884.09,2383.2,2373.12,2381.81,50.0,71.0,54.0,-23.0,5.0,-18.0,2460.56,2385.35,2310.13,28.56
2022-01-22 17:30:00,2393.54,2420.22,2390.26,2391.61,7302.16,2386.56,2376.81,2382.84,50.0,85.0,72.0,-22.0,6.0,-16.0,2460.55,2385.34,2310.13,27.74
2022-01-22 17:45:00,2390.26,2446.97,2368.32,2429.67,14082.31,2403.81,2387.39,2387.77,56.0,85.0,80.0,-20.0,9.0,-10.0,2463.77,2386.57,2309.37,27.68
2022-01-22 18:00:00,2429.9,2435.0,2410.0,2414.56,3417.78,2408.11,2392.82,2390.59,53.0,88.0,86.0,-17.0,10.0,-7.0,2466.0,2387.88,2309.77,27.62
2022-01-22 18:15:00,2414.48,2457.07,2411.65,2426.66,7109.35,2415.53,2399.59,2394.39,55.0,95.0,89.0,-14.0,11.0,-4.0,2464.61,2387.45,2310.3,28.1
2022-01-22 18:30:00,2426.56,2449.14,2418.05,2442.88,5234.2,2426.47,2408.25,2399.49,57.0,95.0,93.0,-11.0,12.0,0.0,2464.64,2387.46,2310.28,28.54
2022-01-22 18:45:00,2442.87,2472.01,2430.85,2446.04,6480.63,2434.3,2415.81,2404.39,58.0,99.0,96.0,-8.0,12.0,4.0,2465.66,2387.72,2309.79,29.47
2022-01-22 19:00:00,2446.04,2446.89,2425.11,2434.55,4160.56,2434.4,2419.55,2407.57,55.0,96.0,97.0,-6.0,11.0,6.0,2464.85,2387.49,2310.14,30.04
2022-01-22 19:15:00,2434.55,2436.85,2401.05,2402.23,2548.79,2421.53,2416.09,2407.0,49.0,84.0,93.0,-4.0,8.0,4.0,2463.77,2386.97,2310.18,29.44
2022-01-22 19:30:00,2402.23,2402.74,2379.22,2386.95,3454.99,2407.7,2410.26,2404.89,46.0,68.0,83.0,-3.0,4.0,2.0,2463.72,2386.93,2310.14,28.01
2022-01-22 19:45:00,2386.95,2388.32,2365.0,2379.37,3951.88,2396.37,2404.08,2402.21,45.0,51.0,68.0,-2.0,2.0,-0.0,2463.11,2386.3,2309.49,26.17
2022-01-22 20:00:00,2379.37,2395.56,2368.3,2393.78,4581.21,2395.33,2402.02,2401.32,48.0,47.0,56.0,-2.0,1.0,-1.0,2463.78,2386.95,2310.13,24.7
2022-01-22 20:15:00,2393.77,2408.96,2389.05,2408.82,3643.96,2400.73,2403.38,2402.11,51.0,46.0,48.0,-2.0,1.0,-1.0,2465.71,2389.15,2312.59,23.78
2022-01-22 20:30:00,2408.83,2409.64,2391.0,2392.98,2068.88,2397.63,2401.3,2401.15,48.0,41.0,45.0,-2.0,0.0,-1.0,2466.2,2390.66,2315.13,22.95
2022-01-22 20:45:00,2393.58,2414.15,2391.46,2412.18,2000.15,2403.45,2403.48,2402.31,52.0,41.0,42.0,-1.0,1.0,-0.0,2465.93,2394.41,2322.89,22.32
2022-01-22 21:00:00,2412.18,2430.46,2398.03,2418.06,6109.02,2409.29,2406.39,2403.97,53.0,46.0,43.0,-1.0,2.0,1.0,2464.73,2398.58,2332.42,22.29
2022-01-22 21:15:00,2418.17,2444.43,2406.3,2437.5,7190.2,2420.58,2412.62,2407.5,57.0,69.0,52.0,-0.0,3.0,3.0,2467.59,2402.53,2337.46,22.67
2022-01-22 21:30:00,2437.51,2446.8,2428.32,2433.37,5405.78,2425.69,2416.77,2410.22,56.0,79.0,65.0,1.0,4.0,5.0,2464.89,2407.48,2350.07,23.09
2022-01-22 21:45:00,2433.37,2450.0,2432.01,2448.0,3582.45,2434.62,2423.01,2414.2,59.0,92.0,80.0,2.0,5.0,7.0,2465.2,2412.34,2359.48,23.58
2022-01-22 22:00:00,2448.01,2455.68,2433.43,2439.33,4628.66,2436.5,2426.28,2416.84,56.0,88.0,87.0,3.0,5.0,8.0,2459.24,2417.19,2375.15,24.22
2022-01-22 22:15:00,2439.33,2450.72,2433.53,2446.89,3824.66,2440.66,2430.4,2420.01,58.0,90.0,90.0,5.0,5.0,10.0,2461.75,2418.07,2374.39,24.81
2022-01-22 22:30:00,2446.89,2463.87,2444.59,2448.62,5019.17,2443.84,2434.04,2423.02,58.0,88.0,89.0,6.0,5.0,11.0,2464.81,2420.67,2376.53,25.77
2022-01-22 22:45:00,2448.47,2451.78,2440.66,2444.86,3129.35,2444.25,2436.21,2425.32,57.0,90.0,90.0,7.0,4.0,11.0,2466.49,2423.2,2379.92,26.4
2022-01-22 23:00:00,2444.86,2448.68,2423.31,2427.53,4058.12,2437.56,2434.47,2425.55,52.0,76.0,85.0,8.0,2.0,10.0,2466.33,2423.1,2379.87,25.88
2022-01-22 23:15:00,2427.53,2432.22,2419.18,2426.97,4332.26,2433.32,2432.97,2425.7,52.0,57.0,75.0,8.0,1.0,9.0,2466.78,2423.69,2380.61,25.16
2022-01-22 23:30:00,2426.96,2434.97,2416.01,2418.51,3119.28,2427.4,2430.08,2424.94,49.0,32.0,55.0,8.0,-0.0,7.0,2466.42,2423.31,2380.19,24.3
2022-01-22 23:45:00,2418.51,2424.96,2388.37,2395.36,8342.99,2414.58,2423.14,2421.83,43.0,15.0,35.0,7.0,-3.0,4.0,2464.8,2421.04,2377.29,23.06
2022-01-23 00:00:00,2395.37,2407.82,2391.9,2397.04,3528.8,2407.57,2417.92,2419.22,44.0,5.0,17.0,6.0,-4.0,2.0,2462.11,2418.71,2375.31,21.92
2022-01-23 00:15:00,2397.04,2405.27,2385.9,2397.82,2923.12,2403.67,2413.9,2416.97,44.0,4.0,8.0,5.0,-5.0,-0.0,2460.62,2416.96,2373.3,21.14
2022-01-23 00:30:00,2397.52,2419.37,2394.16,2415.87,2743.48,2408.55,2414.29,2416.85,50.0,19.0,9.0,4.0,-4.0,-0.0,2460.78,2417.61,2374.44,19.64
2022-01-23 00:45:00,2415.87,2420.4,2411.49,2416.68,2005.99,2411.8,2414.77,2416.83,50.0,31.0,18.0,3.0,-3.0,-0.0,2459.97,2419.03,2378.08,18.28
2022-01-23 01:00:00,2416.68,2433.26,2407.08,2429.55,5609.42,2418.9,2417.73,2418.17,54.0,52.0,34.0,3.0,-2.0,1.0,2458.5,2421.42,2384.33,17.68
2022-01-23 01:15:00,2429.56,2437.0,2423.59,2434.19,5532.38,2425.02,2421.02,2419.86,56.0,66.0,50.0,3.0,-0.0,2.0,2458.64,2423.34,2388.04,17.31
2022-01-23 01:30:00,2434.05,2444.81,2432.15,2438.14,6291.19,2430.27,2424.44,2421.78,57.0,83.0,67.0,3.0,1.0,3.0,2459.95,2424.74,2389.52,17.33
2022-01-23 01:45:00,2438.14,2438.52,2428.76,2432.51,2436.14,2431.16,2426.06,2422.91,55.0,87.0,79.0,3.0,1.0,4.0,2458.95,2426.62,2394.29,17.13
2022-01-23 02:00:00,2432.51,2441.99,2411.27,2414.41,7930.37,2424.46,2423.73,2422.02,48.0,70.0,80.0,3.0,-0.0,3.0,2458.88,2426.72,2394.57,15.95
2022-01-23 02:15:00,2414.22,2425.31,2411.09,2422.55,8360.64,2423.7,2423.49,2422.07,51.0,58.0,71.0,3.0,-0.0,3.0,2458.92,2426.94,2394.96,14.86
2022-01-23 02:30:00,2422.55,2444.35,2422.54,2436.28,5980.19,2428.73,2426.05,2423.57,55.0,60.0,62.0,3.0,0.0,3.0,2458.79,2426.88,2394.97,14.77
2022-01-23 02:45:00,2436.28,2484.51,2430.85,2467.83,16844.88,2444.37,2434.41,2428.23,64.0,81.0,66.0,4.0,3.0,7.0,2464.84,2428.52,2392.21,16.19
2022-01-23 03:00:00,2467.84,2474.19,2454.73,2459.8,6385.56,2450.54,2439.48,2431.55,61.0,90.0,77.0,5.0,4.0,8.0,2466.92,2429.08,2391.25,17.51
2022-01-23 03:15:00,2459.82,2480.0,2455.76,2461.21,5478.05,2454.81,2443.83,2434.67,61.0,90.0,87.0,6.0,4.0,10.0,2470.17,2430.12,2390.08,18.92
2022-01-23 03:30:00,2461.21,2465.5,2452.6,2457.49,3901.74,2455.88,2446.56,2437.07,59.0,82.0,88.0,7.0,4.0,10.0,2471.76,2430.63,2389.5,20.01
2022-01-23 03:45:00,2457.5,2463.34,2450.15,2462.94,2426.19,2458.7,2449.84,2439.8,61.0,80.0,84.0,7.0,4.0,11.0,2474.06,2431.31,2388.56,20.85
2022-01-23 04:00:00,2462.95,2492.56,2458.36,2488.03,9973.64,2470.43,2457.48,2444.87,67.0,85.0,83.0,9.0,5.0,14.0,2482.24,2433.37,2384.5,22.56
2022-01-23 04:15:00,2488.03,2498.0,2483.18,2493.78,10024.97,2479.77,2464.74,2450.02,68.0,94.0,87.0,10.0,6.0,16.0,2491.63,2436.52,2381.41,24.29
2022-01-23 04:30:00,2493.78,2502.32,2488.61,2498.39,5687.1,2487.22,2471.47,2455.11,69.0,100.0,93.0,12.0,6.0,18.0,2500.77,2439.92,2379.07,26.02
2022-01-23 04:45:00,2498.4,2499.28,2484.28,2487.83,3846.27,2487.46,2474.74,2458.56,64.0,92.0,95.0,13.0,5.0,19.0,2506.54,2443.22,2379.91,27.28
2022-01-23 05:00:00,2487.84,2508.18,2477.0,2493.2,15889.82,2489.76,2478.43,2462.2,66.0,87.0,93.0,14.0,5.0,19.0,2510.82,2447.88,2384.94,28.72
2022-01-23 05:15:00,2493.19,2500.7,2482.26,2484.68,6334.28,2487.73,2479.68,2464.57,62.0,76.0,85.0,15.0,4.0,19.0,2512.53,2452.06,2391.58,30.06
2022-01-23 05:30:00,2484.68,2509.1,2481.92,2501.37,9872.13,2493.18,2484.02,2468.44,66.0,79.0,81.0,16.0,3.0,20.0,2515.83,2456.99,2398.14,31.55
2022-01-23 05:45:00,2501.36,2520.25,2492.86,2520.19,6426.7,2503.99,2491.25,2473.89,70.0,83.0,79.0,17.0,4.0,21.0,2523.62,2461.95,2400.29,33.25
2022-01-23 06:00:00,2520.2,2535.2,2508.89,2529.35,10002.78,2514.13,2498.87,2479.73,72.0,94.0,85.0,18.0,5.0,23.0,2531.84,2467.32,2402.8,35.18
2022-01-23 06:15:00,2529.09,2543.05,2525.66,2540.23,7487.2,2524.57,2507.14,2486.1,74.0,100.0,93.0,20.0,6.0,26.0,2541.82,2472.59,2403.36,37.15
